CODE_ISIN;PLACE_DE_COTATION;CATEGORIE;ORGANISME;PRODUIT;STOCK;DATE_COURS;VALEUR_LIQUIDATIVE;CONTRE_VALEUR_EN_EUROS
FR0000008674;PARIS;OPC;FIDELI;U579;891.87;31/12/2019;59.84;53369.3
FR0010666560;PARIS;OPC;NATIIM;U579;12.22;31/12/2019;377.52;4611.8
FR0011774686;PARIS;OPC;BNPPAM;C295;86.42;31/12/2019;376.95;32577.47
FR0010321810;PARIS;OPC;ECHIQ;C295;683.37;31/12/2019;413.08;282288.09
LU0823403356;PARIS;OPC;BNPPIP;C295;245.73;31/12/2019;133.11;32709.03
LU0011818076;PARIS;OPC;HPBL;C295;51.69;30/12/2019;10.87;561.92
LU0294221253;PARIS;OPC;FRANKF;C639;26407.81;31/12/2019;17.54;463192.98
LU0445386369;PARIS;OPC;NORIF;C639;37110.66;31/12/2019;12.29;456090.03
LU0880062913;PARIS;OPC;JPMORG;C639;105.34;31/12/2019;205.66;21663.34
FR0000990095;PARIS;OPC;ODDO;C639;822.58;31/12/2019;316.76;260560.7
FRSG00010761;PARIS;EMT;SGINVB;C639;295.49;31/12/2019;1035.3;305919.88
LU1582982283;PARIS;OPC;MGI;C639;29095.93;31/12/2019;9.78;284558.18
LU1012219207;PARIS;OPC;LAFAIS;C639;535.06;31/12/2019;1054.38;564156.59
LU0340559805;PARIS;OPC;PICTET;C639;117.25;31/12/2019;146.92;17226.37
FR0013297330;PARIS;EMT;SGIRBC;C639;361.84;31/12/2019;1098.3;397403.96
FR0010004085;PARIS;OPC;CM-CIC;C639;694.65;31/12/2019;455.61;316491.47
LU1234787544;PARIS;OPC;GENLUX;C639;1291.23;31/12/2019;137.13;177065.87
FR0007026448;PARIS;OPC;PARIBA;C640;191.43;31/12/2019;290.23;55557.89
FRIMMORENTE1;PARIS;SCP;SOFIDY;C642;27829.2;31/12/2019;279.88;7788835.25
FR0010547869;PARIS;OPC;AMIRAL;C642;1225.3;31/12/2019;191.35;234461.53
FR0010697532;PARIS;OPC;KERF;C642;15089.96;31/12/2019;186.89;2820162.89
FRSELECTINV1;PARIS;SCP;LAFREM;C642;1202.93;31/12/2019;595.87;716789.97
FR0010923367;PARIS;OPC;H20;C642;33054.13;31/12/2019;189.68;6269707.04
FRLAFFPIERRE;PARIS;SCP;AEWC;C642;7737.76;31/12/2019;390.93;3024920.63
FR0010010876;PARIS;OPC;FINARC;C642;33692.01;31/12/2019;4.78;161047.79
FR0011640986;PARIS;OPC;INOCAP;C642;1977.53;31/12/2019;179.84;355639.07
FR0010687749;PARIS;OPC;AMILTO;C642;2313.39;31/12/2019;212.22;490947.33
FR0013456282;PARIS;EMT;BNPIBV;C642;1329.67;31/12/2019;996.3;1324753.84
FR0013407145;PARIS;EMT;SGINVB;C642;136.01;31/12/2019;997.8;135707.43
FR0013339512;PARIS;OPC;LAFAM;C642;1360.5;31/12/2019;1027.28;1397613.19
XS2043856025;PARIS;EMT;GOLDSI;C642;411.49;31/12/2019;1099.35;452368.52
XS1210015514;PARIS;EMT;BNPCIB;C642;4569.69;31/12/2019;887.8;4056970.78
FR0013296753;PARIS;EMT;SGCIB;C642;1385.33;31/12/2019;1055.4;1462075.32
FR0010321828;PARIS;OPC;ECHIQ;C642;2248.97;31/12/2019;293.85;660859.43
LU0489687243;PARIS;OPC;MANDAR;C642;174.49;31/12/2019;1485.41;259189.92
LU0677960808;PARIS;OPC;ALINVS;C642;25.51;31/12/2019;871.5;22227.63
FR0010058628;PARIS;OPC;HSBCAM;C642;40.23;31/12/2019;2245.26;90334.49
FR0010479485;PARIS;OPC;HOTTGE;C642;2843.97;31/12/2019;126.21;358936.96
LU0251658372;PARIS;OPC;AXAFUN;C642;1606.01;31/12/2019;174.11;279622.37
FR0012562817;PARIS;OPC;PHILIP;C642;686.17;27/12/2019;103.26;70853.54
LU0316493666;PARIS;OPC;FRANKF;C642;3386.65;31/12/2019;31.45;106510.11
FR0010315770;PARIS;ETF;LYXOR;C642;345.81;31/12/2019;206.95;71564.63
FR0013253952;PARIS;EMT;SGCIB;C642;143.53;31/12/2019;1050.5;150779.49
FR0000008997;PARIS;OPC;OFI;C642;0.2;31/12/2019;4356.04;876.74
LU0267929163;PARIS;OPC;ROSAAG;C642;120.53;31/12/2019;333.09;40148.09
FR0011631050;PARIS;OPC;AMPLEG;C642;456.67;31/12/2019;190.86;87160.94
LU0300743431;PARIS;OPC;FRANKT;C642;638.25;31/12/2019;14.47;9235.49
LU1379103812;PARIS;OPC;CLARES;C642;43.37;31/12/2019;281.21;12196.3
LU1112771503;PARIS;OPC;SYQAP;C642;21.65;27/12/2019;1223.77;26498.38
FR0013346038;PARIS;EMT;MOSTPL;C642;58.63;31/12/2019;1025.6;60128.36
LU1876459303;PARIS;OPC;AXIOM;C642;1.47;31/12/2019;760.98;1118.14
LU0189847766;PARIS;OPC;AXA;C642;26.14;31/12/2019;414.3;10828.25
FR0011530559;PARIS;OPC;LAZAR;C642;2.12;31/12/2019;992.98;2106.64
LU0302446991;PARIS;OPC;SCHRO;C642;534.7;31/12/2019;18.29;9779.66
FR0010172767;PARIS;OPC;EDRAM;C642;104.34;31/12/2019;376.53;39285.79
FR0010996629;PARIS;OPC;SUNNNY;C676;7221.73;31/12/2019;131.73;951318.73
LU1670708335;PARIS;OPC;MGI;C676;1797.56;31/12/2019;16.89;30360.83
FR0000424319;PARIS;OPC;SGAM;C676;594.34;31/12/2019;278.21;165350.22
LU1876460905;PARIS;OPC;AXIOM;C676;5.2;31/12/2019;1850.62;9628.17
FR0010687053;PARIS;OPC;DORVAL;C676;421.9;31/12/2019;152.5;64339.63
LU0303816887;PARIS;OPC;FIDELI;C676;1544.35;31/12/2019;17.92;27674.8
FR0010591123;PARIS;OPC;MONTB;C676;292.34;31/12/2019;9.31;2721.66
FR0010330258;PARIS;OPC;CPRASM;C676;0.09;31/12/2019;4638.01;398.17
FRMULTIMMOB2;PARIS;SCP;LAFAM;C678;117.49;31/12/2019;715.6;84075.73
FR0010546929;PARIS;OPC;TOCQU;C678;81.43;31/12/2019;24.19;1969.83
FR0011365642;PARIS;OPC;SUNNNY;C678;53.96;31/12/2019;99.39;5363.36
